Post_ID,Post_Type,Likes,Shares,Comments,Views,Post_Date
d1af657a-6e97-4ec0-b6ec-5006386bdac5,static_image,387,257,58,721,2024-05-26
423985e0-f1c5-4334-830c-376772db1ea6,video,1413,601,673,6940,2024-05-13
7d69ca41-a713-44e4-abe2-9e5d21b76b35,carousel,708,379,158,2421,2024-01-12
cb957b6d-7800-4388-9556-796a18360f0f,carousel,690,253,146,1882,2024-10-20
b455622f-dced-43b9-8e97-e9348faedef9,static_image,354,113,112,705,2024-11-23
ff713678-95e4-4ac9-b0db-7ab61a51615e,reels,4383,904,959,9941,2024-01-20
aa8e5998-5379-4521-b7ab-929f279a6433,carousel,723,373,212,3300,2024-09-21
2b52adc2-7d07-4c2b-ae9d-ee176334fd76,carousel,929,373,254,4388,2024-02-08
33ea3ec5-c2ba-4874-a95e-e5f24029be4c,video,1851,392,423,9289,2024-06-29
0b15aa52-c0a2-4cbf-aa2a-20380c8dc8ce,video,760,341,448,2672,2024-07-20
3796cbe0-f4aa-4b91-87df-3679ce30cd30,static_image,650,257,125,553,2024-05-31
bdc68396-12d1-4ccf-a389-5d7c59a1350b,video,1212,309,437,6882,2024-09-26
b9c7692a-91b5-4698-8032-8ef8efaab8f2,static_image,666,297,132,2097,2024-06-10
4fe277e8-d73f-44eb-9a01-087916f5e1ec,reels,4201,349,1325,9381,2024-12-04
0c043205-b095-4495-8951-9834bd4c762d,video,882,627,781,4194,2024-06-16
b16e7230-5cf2-47d7-800c-e5cb94748a4e,carousel,962,494,201,3710,2024-01-11
f9bb5bd9-a161-4389-b783-c1b461cc9562,carousel,926,279,272,1541,2024-03-17
1dd1e65e-e2ce-43c9-836c-cf011fc4049a,static_image,503,108,93,2040,2024-04-24
2c2632ba-31ff-412b-b616-f17d95da26ea,reels,1352,699,1196,15710,2024-07-25
57303991-6a6b-4885-adef-7e2a55c63e47,static_image,615,184,69,517,2024-07-20
bd89fe8a-6322-4065-8275-6393a2eb9070,reels,4478,662,836,8492,2024-05-26
a630765d-a880-4339-a70e-ab1811fb0b43,video,1501,341,609,2893,2024-07-01
06553bdb-6252-4c5d-9051-08164afe697d,static_image,319,196,55,1924,2024-02-04
e59d05b5-bf4b-4649-bab9-053bf64ab2bd,static_image,322,235,76,776,2024-02-06
edf17cb3-4054-4431-95d9-9f7cad106726,carousel,557,475,219,3364,2024-01-04
9ba59231-84cc-48cd-846b-2be80a98cf51,static_image,347,154,98,2363,2024-02-28
d90a7365-2b4f-479c-b335-26afc30017c3,carousel,927,377,217,2952,2024-06-14
ae89605f-4f81-419a-b637-ba12a34a4bb5,static_image,584,127,55,1479,2024-10-06
6d0099cd-e62f-45c6-adec-64a9b0ee42a7,video,1360,501,374,8705,2024-02-16
efc10c8a-04d1-43d2-963d-55ba90176298,carousel,861,354,113,3058,2024-04-12
d579c2ce-7501-47e7-b018-a343a586ef5d,reels,4142,409,740,13091,2024-10-12
5b0f4fa3-17fc-4d55-931b-da75f983c489,video,1957,482,350,5422,2024-11-02
38348749-4ed6-4f79-9ada-5d027f2c3469,static_image,679,181,57,1763,2024-03-08
813882ff-d11c-4456-a291-2d4911a1ca5b,video,1107,645,349,2351,2024-07-26
6316bd42-63ab-4f59-8461-1978b9416d27,static_image,548,119,65,1156,2024-09-04
4e0f5422-f5fa-4518-b859-1ba64d632388,static_image,503,227,93,1657,2024-12-20
2bbf87f0-51b5-4c55-966b-7498478b82e3,video,1451,425,432,5099,2024-04-17
9bdbb846-d59d-400c-9291-0a5ef4e502b7,carousel,943,230,201,2607,2024-08-14
af24568d-fac1-4681-a9c6-b5c2e552921a,static_image,606,102,103,1917,2024-10-25
2bb70665-206b-4544-b342-e1bffdd69d7d,reels,4243,1000,1341,7883,2024-03-04
922c731e-aeb8-4fd5-8685-11671ac1646f,static_image,338,229,65,1337,2024-03-06
2d7c0045-6097-47bb-b479-c29d78558658,carousel,642,452,192,2675,2024-10-29
0c844ad9-125f-470f-9532-994d91b27132,reels,2312,715,763,9870,2024-04-25
f10fad7c-c1b0-4351-ba7d-0428c6f8adc7,static_image,517,249,124,1620,2024-01-10
